"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked At Home","Total Population:","Total Population: More than 5 Years","Total Population: More than 10 Years","Total Population: More than 15 Years","Total Population: More than 18 Years","Total Population: More than 25 Years","Total Population: More than 35 Years","Total Population: More than 45 Years","Total Population: More than 55 Years","Total Population: More than 65 Years","Total Population: More than 75 Years","Total Population: More than 85 Years","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"06073013604","Census Tract 136.04, San Diego County, California","ACSSF","ca","140","00","0009514",,,,,"06","073",,,"013604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013604","Census Tract 136.04",,,,3021,2742,2445,297,0,0,0,0,19,260,6136,5778,5406,4853,4761,4308,3320,2495,2058,1216,247,89,100333,6136,4736,3668,302,0,402,17,0,347,1400,688,0,76,0,0,125,511
"06073013605","Census Tract 136.05, San Diego County, California","ACSSF","ca","140","00","0009515",,,,,"06","073",,,"013605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013605","Census Tract 136.05",,,,3024,2765,2694,71,2,0,20,1,31,205,6330,6028,5675,5372,5029,4551,4027,3193,2454,1511,553,183,152261,6330,5354,4717,28,37,204,34,0,334,976,623,0,0,0,0,122,231
"06073013607","Census Tract 136.07, San Diego County, California","ACSSF","ca","140","00","0009516",,,,,"06","073",,,"013607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013607","Census Tract 136.07",,,,1048,854,837,17,0,20,0,43,28,103,2726,2364,2224,1966,1837,1534,1153,900,611,342,132,22,67532,2726,2251,1659,318,0,54,0,0,220,475,155,0,0,191,0,0,129
"06073013608","Census Tract 136.08, San Diego County, California","ACSSF","ca","140","00","0009517",,,,,"06","073",,,"013608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013608","Census Tract 136.08",,,,1699,1544,1311,233,0,0,0,0,77,78,3922,3787,3555,3263,3025,2631,2376,1859,1174,763,369,282,79464,3922,3460,2979,47,0,166,0,57,211,462,284,0,0,0,0,36,142
"06073013701","Census Tract 137.01, San Diego County, California","ACSSF","ca","140","00","0009518",,,,,"06","073",,,"013701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013701","Census Tract 137.01",,,,1139,916,870,46,0,12,0,0,16,195,2466,2374,2311,2183,2096,1835,1631,1378,982,506,299,99,107609,2466,1956,1585,172,0,122,0,15,62,510,359,0,0,0,0,26,125
"06073013702","Census Tract 137.02, San Diego County, California","ACSSF","ca","140","00","0009519",,,,,"06","073",,,"013702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013702","Census Tract 137.02",,,,2441,2095,1802,293,5,0,92,2,11,236,5652,5242,4830,4332,3984,3542,2683,1901,1159,609,232,56,81042,5652,3062,1765,611,0,454,0,0,232,2590,1284,0,6,0,0,1090,210
"06073013801","Census Tract 138.01, San Diego County, California","ACSSF","ca","140","00","0009520",,,,,"06","073",,,"013801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013801","Census Tract 138.01",,,,2420,2093,1777,316,153,0,0,24,0,150,5378,5128,4806,4543,4287,3571,2928,2213,1606,595,288,71,74750,5378,2843,1692,590,0,430,0,9,122,2535,1546,4,110,62,0,432,381
"06073013802","Census Tract 138.02, San Diego County, California","ACSSF","ca","140","00","0009521",,,,,"06","073",,,"013802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013802","Census Tract 138.02",,,,1410,1257,1119,138,37,0,5,6,4,101,3428,3090,2862,2529,2341,2061,1581,1030,657,316,92,46,59875,3428,1367,548,641,0,84,0,0,94,2061,855,0,9,0,0,840,357
"06073013903","Census Tract 139.03, San Diego County, California","ACSSF","ca","140","00","0009522",,,,,"06","073",,,"013903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013903","Census Tract 139.03",,,,1528,1365,1199,166,46,0,0,0,0,117,3794,3598,3437,3169,3058,2612,2252,1738,1350,917,477,213,87340,3794,2191,1133,286,0,597,0,0,175,1603,900,0,16,0,0,525,162
"06073013905","Census Tract 139.05, San Diego County, California","ACSSF","ca","140","00","0009523",,,,,"06","073",,,"013905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013905","Census Tract 139.05",,,,1928,1651,1445,206,55,13,0,23,105,81,4696,4227,3889,3504,3361,3117,2362,1520,1022,472,161,30,113164,4696,2857,1415,596,0,396,0,106,344,1839,710,5,35,0,0,293,796
"06073013906","Census Tract 139.06, San Diego County, California","ACSSF","ca","140","00","0009524",,,,,"06","073",,,"013906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013906","Census Tract 139.06",,,,2496,2045,1791,254,0,0,0,38,105,308,5060,4616,4370,4106,3921,3578,2640,1839,1224,737,255,71,64155,5060,3763,1814,792,42,654,0,20,441,1297,535,37,0,0,0,431,294
"06073013907","Census Tract 139.07, San Diego County, California","ACSSF","ca","140","00","0009525",,,,,"06","073",,,"013907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013907","Census Tract 139.07",,,,1774,1580,1398,182,41,0,0,48,0,105,4231,3832,3506,3168,3051,2541,1775,1080,684,311,157,69,50363,4231,1606,682,595,0,323,0,0,6,2625,1230,0,25,0,0,1090,280
"06073013908","Census Tract 139.08, San Diego County, California","ACSSF","ca","140","00","0009526",,,,,"06","073",,,"013908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013908","Census Tract 139.08",,,,2045,1827,1590,237,11,11,0,0,0,196,4324,4105,3768,3299,3178,2751,2042,1534,725,303,130,27,76125,4324,1684,773,539,0,178,106,0,88,2640,1396,28,126,33,0,747,310
"06073013909","Census Tract 139.09, San Diego County, California","ACSSF","ca","140","00","0009527",,,,,"06","073",,,"013909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073013909","Census Tract 139.09",,,,2725,2433,2142,291,39,19,0,1,47,186,5856,5597,5336,4982,4768,4144,3315,2515,1634,810,267,150,89904,5856,2751,1856,265,0,474,0,0,156,3105,1110,13,0,0,0,1376,606
"06073014001","Census Tract 140.01, San Diego County, California","ACSSF","ca","140","00","0009528",,,,,"06","073",,,"014001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014001","Census Tract 140.01",,,,2289,1994,1741,253,24,7,15,0,9,240,4985,4655,4449,4162,3874,3580,2365,1909,1190,582,154,43,69459,4985,2628,1369,361,0,651,33,0,214,2357,1214,19,143,0,46,480,455
"06073014002","Census Tract 140.02, San Diego County, California","ACSSF","ca","140","00","0009529",,,,,"06","073",,,"014002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014002","Census Tract 140.02",,,,1899,1684,1526,158,111,11,0,0,7,86,4572,4471,4125,3743,3497,3170,2410,1716,1286,720,267,102,76728,4572,2733,1286,1035,0,362,0,0,50,1839,891,0,29,21,0,835,63
"06073014101","Census Tract 141.01, San Diego County, California","ACSSF","ca","140","00","0009530",,,,,"06","073",,,"014101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014101","Census Tract 141.01",,,,1897,1637,1485,152,42,18,0,0,0,200,3818,3535,3323,3148,2981,2669,2178,1567,1144,633,229,75,88449,3818,2276,1413,330,0,202,0,0,331,1542,302,0,64,0,0,452,724
"06073014102","Census Tract 141.02, San Diego County, California","ACSSF","ca","140","00","0009531",,,,,"06","073",,,"014102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014102","Census Tract 141.02",,,,1811,1556,1404,152,156,7,0,44,0,48,4042,3861,3704,3321,3066,2628,2365,1736,1207,712,308,51,74384,4042,2017,298,958,0,503,0,32,226,2025,827,0,9,113,0,872,204
"06073014200","Census Tract 142, San Diego County, California","ACSSF","ca","140","00","0009532",,,,,"06","073",,,"014200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014200","Census Tract 142",,,,3207,2851,2444,407,66,8,0,0,0,282,6677,6169,5717,5294,5170,4561,3370,2540,1804,846,271,99,96707,6677,3860,1565,1156,7,695,21,18,398,2817,1491,27,142,90,0,571,496
"06073014300","Census Tract 143, San Diego County, California","ACSSF","ca","140","00","0009533",,,,,"06","073",,,"014300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014300","Census Tract 143",,,,2097,1784,1574,210,97,11,0,59,16,130,4281,4149,3883,3451,3243,2691,2149,1539,1050,444,154,30,75905,4281,2060,1242,358,11,329,0,0,120,2221,968,17,3,7,0,515,711
"06073014400","Census Tract 144, San Diego County, California","ACSSF","ca","140","00","0009534",,,,,"06","073",,,"014400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014400","Census Tract 144",,,,1881,1363,1201,162,116,0,0,28,42,332,4439,4197,3709,3484,3243,2907,2178,1624,1223,636,230,73,34813,4439,2216,765,1200,0,0,73,0,178,2223,1109,28,0,0,0,751,335
"06073014500","Census Tract 145, San Diego County, California","ACSSF","ca","140","00","0009535",,,,,"06","073",,,"014500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014500","Census Tract 145",,,,1830,1638,1463,175,36,1,0,19,0,136,3968,3608,3440,3079,2850,2578,1905,1354,905,491,145,33,73750,3968,1938,1180,493,0,194,0,27,44,2030,1241,8,3,18,0,140,620
"06073014601","Census Tract 146.01, San Diego County, California","ACSSF","ca","140","00","0009536",,,,,"06","073",,,"014601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014601","Census Tract 146.01",,,,2356,1817,1589,228,64,0,0,41,138,296,4684,4431,4256,3967,3885,3665,2830,2185,1453,850,605,403,49897,4684,3300,2315,455,0,253,0,14,263,1384,466,0,8,25,0,435,450
"06073014602","Census Tract 146.02, San Diego County, California","ACSSF","ca","140","00","0009537",,,,,"06","073",,,"014602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014602","Census Tract 146.02",,,,2485,2076,1778,298,66,0,0,49,7,287,5468,4989,4579,4220,4076,3656,2728,2027,1496,987,303,83,110323,5468,3944,2553,537,0,615,50,0,189,1524,758,71,0,9,0,309,377
"06073014701","Census Tract 147.01, San Diego County, California","ACSSF","ca","140","00","0009538",,,,,"06","073",,,"014701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073014701","Census Tract 147.01",,,,2183,2020,1968,52,34,0,0,40,0,89,3776,3478,3314,3157,3141,2780,2010,1326,853,473,107,30,88125,3776,3057,2385,148,0,140,0,0,384,719,275,40,32,39,0,159,174
