"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked At Home","Total Population:","Total Population: More than 5 Years","Total Population: More than 10 Years","Total Population: More than 15 Years","Total Population: More than 18 Years","Total Population: More than 25 Years","Total Population: More than 35 Years","Total Population: More than 45 Years","Total Population: More than 55 Years","Total Population: More than 65 Years","Total Population: More than 75 Years","Total Population: More than 85 Years","Median Household Income (In 2021 Inflation Adjusted Dollars)","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"06073008355","Census Tract 83.55, San Diego County, California","ACSSF","ca","140","00","0009325",,,,,"06","073",,,"008355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008355","Census Tract 83.55",,,,1665,1474,1307,167,10,0,6,15,12,148,3065,2783,2588,2465,2419,2158,1545,1154,803,391,132,14,127031,3065,2646,691,222,0,1502,0,22,209,419,136,10,2,0,0,177,94
"06073008356","Census Tract 83.56, San Diego County, California","ACSSF","ca","140","00","0009326",,,,,"06","073",,,"008356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008356","Census Tract 83.56",,,,1972,1588,1371,217,82,0,25,11,18,248,3980,3765,3353,3072,3008,2716,2021,1460,1179,494,234,83,88929,3980,3325,1009,265,0,1961,0,28,62,655,524,0,0,0,0,131,0
"06073008357","Census Tract 83.57, San Diego County, California","ACSSF","ca","140","00","0009327",,,,,"06","073",,,"008357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008357","Census Tract 83.57",,,,2574,2072,1823,249,93,8,7,49,62,283,4458,4141,3967,3828,3721,3231,2130,1457,1098,444,99,25,99559,4458,3896,794,80,5,2931,0,6,80,562,155,0,0,12,0,344,51
"06073008358","Census Tract 83.58, San Diego County, California","ACSSF","ca","140","00","0009328",,,,,"06","073",,,"008358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008358","Census Tract 83.58",,,,4140,3472,3140,332,114,68,14,70,40,362,7334,7149,6763,6360,6093,5190,4243,3254,2034,1167,454,113,106928,7334,5887,1806,86,0,3318,201,0,476,1447,412,6,0,13,7,672,337
"06073008359","Census Tract 83.59, San Diego County, California","ACSSF","ca","140","00","0009329",,,,,"06","073",,,"008359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008359","Census Tract 83.59",,,,2780,2087,1785,302,105,32,21,187,7,341,4596,4234,4051,3820,3754,3192,1631,990,705,336,101,23,67169,4596,3001,999,208,17,1548,16,0,213,1595,483,0,18,21,0,871,202
"06073008360","Census Tract 83.60, San Diego County, California","ACSSF","ca","140","00","0009330",,,,,"06","073",,,"008360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008360","Census Tract 83.60",,,,3375,2916,2363,553,60,0,0,0,22,377,7160,6700,6252,5757,5643,5134,3708,2664,1834,833,207,33,85899,7160,4790,1836,261,5,2406,103,0,179,2370,825,47,6,0,0,346,1146
"06073008361","Census Tract 83.61, San Diego County, California","ACSSF","ca","140","00","0009331",,,,,"06","073",,,"008361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008361","Census Tract 83.61",,,,1483,814,716,98,122,4,44,230,50,219,2742,2622,2549,2496,2478,1814,1278,889,688,378,233,102,69830,2742,2482,1626,143,0,601,0,11,101,260,131,14,19,0,0,58,38
"06073008362","Census Tract 83.62, San Diego County, California","ACSSF","ca","140","00","0009332",,,,,"06","073",,,"008362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008362","Census Tract 83.62",,,,1633,1118,1018,100,40,29,26,37,118,265,3256,3046,2898,2748,2583,2428,1719,1275,803,446,175,9,106094,3256,2973,2255,42,0,512,0,0,164,283,202,0,0,0,0,0,81
"06073008363","Census Tract 83.63, San Diego County, California","ACSSF","ca","140","00","0009333",,,,,"06","073",,,"008363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008363","Census Tract 83.63",,,,2814,1628,1214,414,514,0,68,193,0,411,5033,4855,4795,4633,4633,2465,1279,625,353,94,0,0,61017,5033,4036,1353,0,0,2239,0,56,388,997,561,16,72,0,0,71,277
"06073008364","Census Tract 83.64, San Diego County, California","ACSSF","ca","140","00","0009334",,,,,"06","073",,,"008364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008364","Census Tract 83.64",,,,3022,1794,1634,160,432,51,144,124,0,477,4958,4793,4756,4627,4587,3540,1622,924,594,342,163,27,82307,4958,4413,2324,40,0,1999,0,0,50,545,293,0,0,16,0,98,138
"06073008365","Census Tract 83.65, San Diego County, California","ACSSF","ca","140","00","0009335",,,,,"06","073",,,"008365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008365","Census Tract 83.65",,,,1304,974,930,44,23,0,7,13,10,277,2706,2611,2428,2234,2143,2026,1721,1416,1038,420,100,28,185400,2706,2346,1327,0,4,843,0,0,172,360,238,0,0,14,0,74,34
"06073008366","Census Tract 83.66, San Diego County, California","ACSSF","ca","140","00","0009336",,,,,"06","073",,,"008366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008366","Census Tract 83.66",,,,3680,2910,2808,102,0,0,0,0,13,757,7030,6735,6043,5610,5139,4623,4201,3382,1811,570,152,50,182170,7030,6710,3726,49,0,2547,62,0,326,320,194,0,10,0,0,31,85
"06073008367","Census Tract 83.67, San Diego County, California","ACSSF","ca","140","00","0009337",,,,,"06","073",,,"008367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008367","Census Tract 83.67",,,,1389,1087,1087,0,0,0,0,0,16,286,2881,2591,2412,2191,2139,1998,1615,1011,544,254,88,24,109560,2881,2445,1433,0,0,861,0,0,151,436,150,0,50,0,0,166,70
"06073008368","Census Tract 83.68, San Diego County, California","ACSSF","ca","140","00","0009338",,,,,"06","073",,,"008368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008368","Census Tract 83.68",,,,3321,2671,2585,86,0,0,0,8,61,581,7133,6690,6229,5530,5223,4674,4027,3039,1999,809,229,48,192031,7133,6605,2405,45,125,3198,37,41,754,528,254,0,0,0,0,127,147
"06073008369","Census Tract 83.69, San Diego County, California","ACSSF","ca","140","00","0009339",,,,,"06","073",,,"008369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008369","Census Tract 83.69",,,,2829,2213,2213,0,32,0,0,16,0,568,4052,3916,3486,3253,3206,3107,1719,863,482,128,81,44,150933,4052,3849,1929,173,0,1560,0,0,187,203,203,0,0,0,0,0,0
"06073008370","Census Tract 83.70, San Diego County, California","ACSSF","ca","140","00","0009340",,,,,"06","073",,,"008370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008370","Census Tract 83.70",,,,2617,2260,2089,171,30,0,29,0,11,287,3897,3586,3380,3191,3125,2839,2041,1322,712,265,58,10,122100,3897,3558,2218,34,0,1043,0,25,238,339,196,0,0,0,0,78,65
"06073008371","Census Tract 83.71, San Diego County, California","ACSSF","ca","140","00","0009341",,,,,"06","073",,,"008371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008371","Census Tract 83.71",,,,1887,1320,1320,0,35,0,0,0,4,528,3540,3306,3041,2705,2575,2355,1616,1074,447,130,0,0,131536,3540,3386,2313,0,0,885,0,0,188,154,154,0,0,0,0,0,0
"06073008372","Census Tract 83.72, San Diego County, California","ACSSF","ca","140","00","0009342",,,,,"06","073",,,"008372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008372","Census Tract 83.72",,,,1810,1407,1281,126,0,0,0,0,0,403,3951,3812,3430,2821,2654,2409,2204,1506,642,145,97,0,227625,3951,3689,2401,0,74,1012,0,0,202,262,111,0,0,0,0,151,0
"06073008373","Census Tract 83.73, San Diego County, California","ACSSF","ca","140","00","0009343",,,,,"06","073",,,"008373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008373","Census Tract 83.73",,,,2108,1560,1460,100,30,0,0,62,36,420,3606,3564,3387,3206,2989,2790,1959,1453,878,477,51,0,154347,3606,3461,1835,51,41,1534,0,0,0,145,71,0,0,0,0,74,0
"06073008374","Census Tract 83.74, San Diego County, California","ACSSF","ca","140","00","0009344",,,,,"06","073",,,"008374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008374","Census Tract 83.74",,,,2159,1831,1659,172,0,0,0,45,0,283,4217,4069,3719,3116,2782,2587,2408,1727,716,357,213,97,250001,4217,3802,1406,0,0,2058,0,29,309,415,248,0,0,0,0,0,167
"06073008375","Census Tract 83.75, San Diego County, California","ACSSF","ca","140","00","0009345",,,,,"06","073",,,"008375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008375","Census Tract 83.75",,,,2517,1775,1718,57,136,0,19,80,0,507,3893,3586,3557,3467,3438,3035,1817,896,473,135,39,0,114167,3893,3111,1124,0,0,1864,0,0,123,782,388,0,0,0,0,0,394
"06073008376","Census Tract 83.76, San Diego County, California","ACSSF","ca","140","00","0009346",,,,,"06","073",,,"008376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008376","Census Tract 83.76",,,,3451,2441,2320,121,0,0,0,149,0,861,6565,6445,6268,6081,5833,4360,2297,1575,853,459,262,202,115875,6565,5123,2923,48,0,1830,9,148,165,1442,367,194,0,0,0,96,785
"06073008377","Census Tract 83.77, San Diego County, California","ACSSF","ca","140","00","0009347",,,,,"06","073",,,"008377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008377","Census Tract 83.77",,,,1109,794,722,72,82,0,62,49,0,122,1997,1929,1898,1898,1898,1363,544,333,227,166,119,96,67217,1997,1940,726,26,0,1114,0,0,74,57,57,0,0,0,0,0,0
"06073008378","Census Tract 83.78, San Diego County, California","ACSSF","ca","140","00","0009348",,,,,"06","073",,,"008378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008378","Census Tract 83.78",,,,467,174,174,0,148,0,0,36,0,109,781,781,757,757,757,517,293,234,122,33,0,0,72188,781,741,332,0,0,372,0,0,37,40,40,0,0,0,0,0,0
"06073008379","Census Tract 83.79, San Diego County, California","ACSSF","ca","140","00","0009349",,,,,"06","073",,,"008379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008379","Census Tract 83.79",,,,1474,883,793,90,192,0,28,94,47,230,3889,3732,3642,3595,3567,2231,1376,1162,867,799,683,477,59005,3889,3800,1288,149,0,2295,0,35,33,89,47,0,16,0,0,26,0
"06073008380","Census Tract 83.80, San Diego County, California","ACSSF","ca","140","00","0009350",,,,,"06","073",,,"008380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008380","Census Tract 83.80",,,,3425,2758,2514,244,23,22,17,1,65,539,6932,6604,6188,6008,5799,4811,3019,1883,1196,492,276,67,93361,6932,6124,1818,374,0,3660,21,0,251,808,195,0,0,19,0,251,343
"06073008381","Census Tract 83.81, San Diego County, California","ACSSF","ca","140","00","0009351",,,,,"06","073",,,"008381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008381","Census Tract 83.81",,,,2455,1651,1540,111,0,0,185,40,0,579,3259,3032,2970,2955,2919,2460,1389,1087,609,365,83,67,141193,3259,3160,806,183,0,1970,0,0,201,99,26,0,0,0,0,52,21
"06073008501","Census Tract 85.01, San Diego County, California","ACSSF","ca","140","00","0009352",,,,,"06","073",,,"008501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008501","Census Tract 85.01",,,,3056,2312,2165,147,37,42,14,63,56,532,5845,5299,5005,4611,4389,4266,2887,2114,1436,782,384,135,107411,5845,4597,4018,18,0,276,0,30,255,1248,497,0,0,0,0,73,678
"06073008502","Census Tract 85.02, San Diego County, California","ACSSF","ca","140","00","0009353",,,,,"06","073",,,"008502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008502","Census Tract 85.02",,,,3566,2803,2601,202,130,0,0,93,22,518,7310,6985,6513,6106,5854,5262,4077,3329,2351,1318,705,355,101734,7310,5638,4736,113,8,593,0,15,173,1672,1075,0,0,0,0,181,416
"06073008503","Census Tract 85.03, San Diego County, California","ACSSF","ca","140","00","0009354",,,,,"06","073",,,"008503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008503","Census Tract 85.03",,,,4472,3499,3032,467,207,3,0,0,14,749,8183,7981,7744,7088,6517,5781,4423,3358,2011,1301,571,123,105739,8183,5572,4538,42,0,448,34,20,490,2611,1681,0,0,13,0,816,101
"06073008504","Census Tract 85.04, San Diego County, California","ACSSF","ca","140","00","0009355",,,,,"06","073",,,"008504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008504","Census Tract 85.04",,,,2895,2542,2173,369,41,19,0,130,0,163,5975,5429,5120,4789,4701,4238,3340,2513,1935,1243,283,120,126772,5975,5089,4263,212,22,437,0,30,125,886,337,0,0,13,32,220,284
"06073008505","Census Tract 85.05, San Diego County, California","ACSSF","ca","140","00","0009356",,,,,"06","073",,,"008505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008505","Census Tract 85.05",,,,2868,2406,2233,173,72,0,17,50,32,291,5600,5435,5207,4967,4896,3877,2974,2377,1617,886,390,210,89787,5600,4364,2979,299,0,840,0,48,198,1236,720,0,0,16,0,100,400
"06073008506","Census Tract 85.06, San Diego County, California","ACSSF","ca","140","00","0009357",,,,,"06","073",,,"008506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008506","Census Tract 85.06",,,,2356,1966,1837,129,25,9,0,14,9,333,4391,4168,3991,3734,3552,3150,2191,1742,1296,542,340,110,102750,4391,3398,2244,56,0,777,0,0,321,993,636,20,8,8,0,97,224
"06073008507","Census Tract 85.07, San Diego County, California","ACSSF","ca","140","00","0009358",,,,,"06","073",,,"008507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008507","Census Tract 85.07",,,,4215,3185,2723,462,0,0,78,89,0,863,7614,7148,6843,6463,6284,5654,4061,3085,1961,966,527,302,85875,7614,5187,2969,676,0,1217,132,0,193,2427,835,0,9,0,0,917,666
"06073008509","Census Tract 85.09, San Diego County, California","ACSSF","ca","140","00","0009359",,,,,"06","073",,,"008509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008509","Census Tract 85.09",,,,3720,3416,2940,476,0,0,33,0,25,246,6945,6543,6276,5956,5839,5440,4093,3246,2213,896,294,140,101676,6945,5217,3812,374,0,802,26,0,203,1728,778,66,27,0,0,437,420
"06073008510","Census Tract 85.10, San Diego County, California","ACSSF","ca","140","00","0009360",,,,,"06","073",,,"008510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008510","Census Tract 85.10",,,,2851,2407,1987,420,80,22,0,22,145,175,6176,5790,5374,5250,5065,4770,3536,2651,1722,986,188,57,47372,6176,4492,2733,204,0,1229,20,26,280,1684,844,128,13,0,0,274,425
"06073008511","Census Tract 85.11, San Diego County, California","ACSSF","ca","140","00","0009361",,,,,"06","073",,,"008511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008511","Census Tract 85.11",,,,3255,2809,2544,265,8,0,16,59,0,363,5074,4910,4792,4637,4544,4128,2410,1800,676,310,131,4,111533,5074,3915,2008,250,0,1557,0,0,100,1159,572,7,0,117,0,69,394
"06073008512","Census Tract 85.12, San Diego County, California","ACSSF","ca","140","00","0009362",,,,,"06","073",,,"008512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008512","Census Tract 85.12",,,,2087,1805,1641,164,34,0,0,0,0,248,4178,3915,3669,3515,3350,3044,2704,2071,1446,867,420,200,104692,4178,3254,2841,87,0,200,0,9,117,924,502,0,0,0,0,108,314
"06073008513","Census Tract 85.13, San Diego County, California","ACSSF","ca","140","00","0009363",,,,,"06","073",,,"008513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008513","Census Tract 85.13",,,,1625,1243,1128,115,0,0,0,1,0,381,2861,2707,2521,2397,2295,2134,1716,1282,950,516,209,129,122688,2861,2520,2086,28,0,228,0,23,155,341,204,0,0,0,0,62,75
"06073008600","Census Tract 86, San Diego County, California","ACSSF","ca","140","00","0009364",,,,,"06","073",,,"008600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008600","Census Tract 86",,,,3769,3049,2730,319,300,53,23,30,0,314,7481,7093,6542,6140,5860,5041,3801,2755,1802,1172,425,167,57211,7481,3785,2017,192,72,1186,0,91,227,3696,2146,0,25,36,0,1470,19
"06073008701","Census Tract 87.01, San Diego County, California","ACSSF","ca","140","00","0009365",,,,,"06","073",,,"008701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008701","Census Tract 87.01",,,,1629,1498,1368,130,7,7,0,0,0,117,3153,2779,2615,2468,2383,2100,1058,572,355,205,82,17,71991,3153,2427,1341,108,0,670,0,18,290,726,374,21,0,0,0,84,247
"06073008702","Census Tract 87.02, San Diego County, California","ACSSF","ca","140","00","0009366",,,,,"06","073",,,"008702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008702","Census Tract 87.02",,,,2640,1969,1829,140,224,0,0,92,8,347,5438,5303,5207,4999,4735,3971,2996,2226,1602,847,389,135,91583,5438,4034,2437,538,0,771,13,19,256,1404,827,60,15,0,10,237,255
"06073008800","Census Tract 88, San Diego County, California","ACSSF","ca","140","00","0009367",,,,,"06","073",,,"008800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008800","Census Tract 88",,,,3708,2994,2533,461,175,5,0,35,133,366,7051,6782,6184,5821,5560,4805,3576,2448,1442,727,324,148,74058,7051,4507,1102,423,0,2769,0,8,205,2544,970,54,35,20,11,912,542
"06073008901","Census Tract 89.01, San Diego County, California","ACSSF","ca","140","00","0009368",,,,,"06","073",,,"008901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008901","Census Tract 89.01",,,,2887,2240,2180,60,92,58,79,2,101,315,5189,5073,4840,4643,4486,3973,2313,1586,1062,609,284,79,81372,5189,3330,2376,159,11,711,0,20,53,1859,1209,0,0,0,0,482,168
"06073008902","Census Tract 89.02, San Diego County, California","ACSSF","ca","140","00","0009369",,,,,"06","073",,,"008902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073008902","Census Tract 89.02",,,,2004,1585,1498,87,58,11,0,25,0,325,2895,2815,2787,2768,2728,2239,1510,1113,711,335,113,49,92163,2895,2173,1711,181,0,174,21,29,57,722,485,0,0,0,0,130,107
"06073009000","Census Tract 90, San Diego County, California","ACSSF","ca","140","00","0009370",,,,,"06","073",,,"009000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009000","Census Tract 90",,,,2469,1778,1475,303,190,0,0,160,20,321,4727,4532,4319,4143,4028,2887,2297,1443,1023,515,139,77,94770,4727,2614,1716,96,21,523,40,0,218,2113,1465,20,0,18,0,276,334
"06073009101","Census Tract 91.01, San Diego County, California","ACSSF","ca","140","00","0009371",,,,,"06","073",,,"009101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009101","Census Tract 91.01",,,,2950,2456,2390,66,0,0,0,0,0,494,5530,5336,5113,4899,4778,4557,3620,2520,1914,1157,510,74,107591,5530,4841,4232,147,0,160,0,0,302,689,388,0,0,10,0,82,209
"06073009102","Census Tract 91.02, San Diego County, California","ACSSF","ca","140","00","0009372",,,,,"06","073",,,"009102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009102","Census Tract 91.02",,,,2767,2266,2120,146,29,7,0,11,9,445,4193,4028,3945,3855,3819,3298,1530,1189,969,458,225,106,61944,4193,2699,1921,135,12,375,0,0,256,1494,504,0,7,32,0,281,670
"06073009103","Census Tract 91.03, San Diego County, California","ACSSF","ca","140","00","0009373",,,,,"06","073",,,"009103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009103","Census Tract 91.03",,,,2227,1635,1602,33,137,0,0,56,50,349,4167,3889,3624,3485,3329,3057,2337,1747,1270,799,304,143,118083,4167,3607,3080,64,64,106,0,0,293,560,388,0,0,0,0,49,123
"06073009104","Census Tract 91.04, San Diego County, California","ACSSF","ca","140","00","0009374",,,,,"06","073",,,"009104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009104","Census Tract 91.04",,,,1519,1054,1009,45,7,5,31,39,0,383,2853,2700,2546,2405,2304,2193,1618,1300,1021,550,318,68,113750,2853,2482,2236,20,0,53,0,0,173,371,270,0,0,0,0,65,36
"06073009107","Census Tract 91.07, San Diego County, California","ACSSF","ca","140","00","0009375",,,,,"06","073",,,"009107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009107","Census Tract 91.07",,,,2776,1864,1774,90,18,0,0,212,103,579,5138,5008,4892,4800,4687,2908,1712,1288,997,490,77,10,77652,5138,4109,2862,154,8,811,0,0,274,1029,617,31,0,19,0,340,22
"06073009108","Census Tract 91.08, San Diego County, California","ACSSF","ca","140","00","0009376",,,,,"06","073",,,"009108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009108","Census Tract 91.08",,,,1005,646,602,44,13,5,30,33,27,251,1940,1820,1744,1669,1539,1462,1255,951,599,343,128,55,81875,1940,1252,1112,5,4,68,0,0,63,688,303,0,26,0,0,38,321
"06073009109","Census Tract 91.09, San Diego County, California","ACSSF","ca","140","00","0009377",,,,,"06","073",,,"009109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009109","Census Tract 91.09",,,,745,269,247,22,0,0,4,308,19,145,3733,3733,3722,3717,3680,79,56,31,17,1,1,0,79408,3733,2973,2134,332,24,300,10,0,173,760,551,12,0,13,0,69,115
"06073009201","Census Tract 92.01, San Diego County, California","ACSSF","ca","140","00","0009378",,,,,"06","073",,,"009201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009201","Census Tract 92.01",,,,2984,2497,1964,533,0,36,0,66,120,265,5881,5369,4781,4390,4329,3525,1828,1127,863,341,187,53,64477,5881,4491,2385,1067,0,877,0,0,162,1390,615,109,104,110,0,49,403
"06073009203","Census Tract 92.03, San Diego County, California","ACSSF","ca","140","00","0009379",,,,,"06","073",,,"009203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009203","Census Tract 92.03",,,,2095,1662,1612,50,53,0,0,79,0,301,3435,3218,3153,3051,3022,2740,1681,1038,713,432,201,26,100781,3435,2868,1811,103,0,439,0,258,257,567,405,0,0,0,0,46,116
"06073009204","Census Tract 92.04, San Diego County, California","ACSSF","ca","140","00","0009380",,,,,"06","073",,,"009204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009204","Census Tract 92.04",,,,2518,1657,1657,0,0,22,0,0,0,839,4013,3778,3696,3689,3471,3229,2757,1669,1156,401,179,79,149132,4013,3501,2112,267,24,390,549,0,159,512,374,0,0,0,0,15,123
"06073009301","Census Tract 93.01, San Diego County, California","ACSSF","ca","140","00","0009381",,,,,"06","073",,,"009301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009301","Census Tract 93.01",,,,3004,2511,2330,181,72,54,0,5,30,332,5607,5360,4867,4548,4415,3708,2546,1858,1039,692,297,106,82321,5607,3889,2475,119,0,1139,0,63,93,1718,489,38,19,0,0,398,774
"06073009305","Census Tract 93.05, San Diego County, California","ACSSF","ca","140","00","0009382",,,,,"06","073",,,"009305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009305","Census Tract 93.05",,,,2521,2193,1831,362,80,21,0,13,0,214,4840,4568,4425,4295,4223,3797,2533,2012,1489,966,469,43,113057,4840,4121,2831,36,0,810,0,0,444,719,323,26,0,17,0,88,265
"06073009306","Census Tract 93.06, San Diego County, California","ACSSF","ca","140","00","0009383",,,,,"06","073",,,"009306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009306","Census Tract 93.06",,,,3261,2861,2619,242,98,12,0,0,16,274,5666,5262,4965,4634,4553,4215,3142,2124,1378,761,244,83,111875,5666,4532,2487,247,93,1380,64,26,235,1134,554,0,0,0,0,262,318
"06073009307","Census Tract 93.07, San Diego County, California","ACSSF","ca","140","00","0009384",,,,,"06","073",,,"009307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06073009307","Census Tract 93.07",,,,2981,2323,2323,0,35,0,0,30,0,593,3868,3799,3781,3763,3762,3212,1445,1124,680,259,45,45,92541,3868,2977,1925,230,17,283,0,0,522,891,556,0,0,117,0,86,132
